Endpoint                   link     
-------------------------  ------------ 
/twitter/tweet   
/instyle    https://www.instyle.com/fashion/seasonal
/gqindia    https://www.gqindia.com/look-good/style-fashion
/cosmopolitan   https://www.cosmopolitan.com/style-beauty/fashion/
/harpersbazar   https://www.harpersbazaar.com/fashion/trends/   
/elle   https://www.elle.com/fashion/trend-reports/
/grazia https://www.grazia.co.in/fashion/trends-and-shopping
/vogue  https://www.vogue.in/fashion/fashion-trends
/famina https://www.femina.in/fashion/trends
/tashiara   https://www.tashiara.com/search/label/Style
